target,comparison,coverage_diff,coverage_pvalue,width_diff,width_pvalue
n_patients,CQR vs GP baseline,0.002666666666666484,0.1840423260974913,1.4147879682426492,9.620347443172783e-08
n_patients,CQR vs Standard CP,-0.0023000000000000798,0.17583280694889292,0.5016522099174239,0.004339411184799823
n_patients,CQR vs Mondrian CP,-0.01130000000000031,1.0576145285416678e-07,-0.4455828519439464,0.028037185627237126
n_patients,Mondrian CQR vs Mondrian CP,-0.0016333333333332645,0.20120543526690068,1.0767380180264112,4.874153924798637e-07
n_patients,CQR vs Mondrian CQR,-0.009666666666667045,2.1531114663009513e-08,-1.5223208699703576,4.727263869846981e-14
mean_wait_minutes,CQR vs GP baseline,0.01783333333333348,1.9918923287776413e-08,-6.441152513648873,8.403824788230768e-22
mean_wait_minutes,CQR vs Standard CP,3.333333333332966e-05,0.9870038443476155,-10.093928486481495,2.168959841315933e-24
mean_wait_minutes,CQR vs Mondrian CP,-0.00979999999999992,0.0006653794584300137,-3.8001498380720307,1.721375275122014e-13
mean_wait_minutes,Mondrian CQR vs Mondrian CP,0.011200000000000099,4.0264374605586886e-05,0.545704493267138,0.06373522717200572
mean_wait_minutes,CQR vs Mondrian CQR,-0.02100000000000002,2.8156986799969165e-14,-4.345854331339169,4.084205691800635e-24
mean_total_minutes,CQR vs GP baseline,0.010933333333333128,4.331552457698413e-05,-3.6055852212086563,6.030177124535176e-16
mean_total_minutes,CQR vs Standard CP,0.0038333333333332442,0.09097886710046386,-6.138017554831286,1.0427603999042893e-20
mean_total_minutes,CQR vs Mondrian CP,-0.005900000000000127,0.0010286206958211768,-3.5526947160129225,3.4147108145708566e-15
mean_total_minutes,Mondrian CQR vs Mondrian CP,0.0028333333333333544,0.10087056486571004,-1.2607605383129794,2.953135904747913e-06
mean_total_minutes,CQR vs Mondrian CQR,-0.008733333333333482,4.0194995568445293e-07,-2.291934177699943,8.412674510917686e-18
p95_wait_minutes,CQR vs GP baseline,0.018799999999999928,1.0256499066183225e-07,-79.0104857261233,3.9060553163776335e-24
p95_wait_minutes,CQR vs Standard CP,0.007899999999999907,0.0013280735698100352,-101.54861439713557,4.410812903279945e-25
p95_wait_minutes,CQR vs Mondrian CP,-0.0050000000000001155,0.059758837617418896,-53.06204494203365,9.777310449744906e-21
p95_wait_minutes,Mondrian CQR vs Mondrian CP,0.008233333333333204,0.0028888890956881358,-35.903746827387806,4.344567980823698e-18
p95_wait_minutes,CQR vs Mondrian CQR,-0.01323333333333332,1.1618781718812257e-13,-17.158298114645845,9.991917837338152e-14
