target,selected_rho_cap,mondrian_worst,hybrid_worst
n_patients,0.75,0.8333333333333334,0.8333333333333334
mean_wait_minutes,0.8,0.8547008547008547,0.8803418803418803
mean_total_minutes,0.75,0.868421052631579,0.868421052631579
p95_wait_minutes,0.8,0.8632478632478633,0.8632478632478633
