architecture,target,mae,rmse,r2,fit_seconds,predict_seconds
RandomForest,n_patients,11.006919999999997,13.965827752052506,0.9127157442955067,0.22380490000068676,0.04568409999774303
RandomForest,mean_wait_minutes,9.676173874712465,14.619180373958152,0.7402719473806689,0.2283471999980975,0.04343259999586735
RandomForest,mean_total_minutes,10.902719139268315,14.924480705371645,0.7137481621229222,0.18100319999211933,0.04554500000085682
RandomForest,p95_wait_minutes,71.62516256412326,113.27332270113206,0.5686451081114693,0.17970739999145735,0.04384569999820087
XGBoost,n_patients,10.558481216430664,13.420764242091316,0.919395923614502,1.1187910000007832,0.005609799991361797
XGBoost,mean_wait_minutes,9.646953010737256,14.46337773891812,0.7457785053213386,0.10820680001052096,0.0033131000091088936
XGBoost,mean_total_minutes,10.739142911399336,14.654718961897876,0.7240027120712115,0.10411489999387413,0.0030603000050177798
XGBoost,p95_wait_minutes,71.73595604362114,112.8720206397734,0.571696081976786,0.10779139999067411,0.0035195999953430146
LightGBM,n_patients,9.896788094531727,12.594938549897575,0.9290104119331932,0.1862732000008691,0.002701100005651824
LightGBM,mean_wait_minutes,8.852866692232142,13.287610862448687,0.7854311803151578,0.14634259999729693,0.003494700009468943
LightGBM,mean_total_minutes,9.921917043132336,13.731633928604992,0.7576772102824657,0.16807230000267737,0.0030626000079791993
LightGBM,p95_wait_minutes,67.25031289272846,102.64439145209201,0.6457989078172535,0.18312769998738077,0.0028123000083724037
