target,method,n_repeats,coverage_mean,coverage_std,coverage_ci95,width_mean,width_std,width_ci95
mean_total_minutes,CQR,30,0.9018,0.013034172592551211,0.0046642187602725284,40.43930028561559,1.1128170460720688,0.3982164656931592
mean_total_minutes,Mondrian CQR,30,0.9105333333333334,0.012333675049630802,0.00441354893385934,42.73123446331552,1.0692326543949742,0.38261999143505826
mean_wait_minutes,CQR,30,0.9009,0.012630969056661686,0.004519934227982459,37.93650297536298,0.9797234183140465,0.3505895226667597
mean_wait_minutes,Mondrian CQR,30,0.9219,0.008547433573281221,0.003058659822217239,42.282357306702146,1.1866231641696476,0.42462764585892965
n_patients,CQR,30,0.8990666666666667,0.01017750505749823,0.003641973411421607,41.894435419065225,1.2211981521874566,0.43700014642264184
n_patients,Mondrian CQR,30,0.9087333333333334,0.01171186646491303,0.004191037589503152,43.41675628903558,1.2257668774360684,0.43863504375607765
p95_wait_minutes,CQR,30,0.9085333333333333,0.009898566017126059,0.0035421563577622134,275.5567758325468,5.902186323507054,2.1120702508157523
p95_wait_minutes,Mondrian CQR,30,0.9217666666666667,0.01185162096678043,0.004241048095717795,292.71507394719265,8.957704348105723,3.205473333480807
