target,mondrian_minus_standard_diff,mondrian_minus_standard_pvalue,mondrian_minus_gp_diff,mondrian_minus_gp_pvalue
n_patients,0.00900000000000023,3.5469306884574658e-06,0.013966666666666794,4.3951293644668103e-07
mean_wait_minutes,0.00983333333333325,0.0003255725701571774,0.0276333333333334,1.4196140899878438e-10
mean_total_minutes,0.009733333333333372,6.898380321200187e-06,0.016833333333333256,1.7471291439773234e-08
p95_wait_minutes,0.012900000000000023,1.724626919242303e-06,0.023800000000000043,3.8321886529917814e-14
