repeat,target,mondrian_worst,qtcp_worst,sa_mondrian_worst,sa_n_min,sa_n_bins
0,n_patients,0.8514851485148515,0.7094017094017094,0.8773584905660378,130,9
0,mean_wait_minutes,0.8648648648648649,0.7672413793103449,0.8739495798319328,130,9
0,mean_total_minutes,0.8378378378378378,0.8532110091743119,0.8235294117647058,100,12
0,p95_wait_minutes,0.87,0.7241379310344828,0.822429906542056,130,9
1,n_patients,0.8782608695652174,0.6530612244897959,0.8395061728395061,100,12
1,mean_wait_minutes,0.8434782608695652,0.7956989247311828,0.8409090909090909,100,12
1,mean_total_minutes,0.8347826086956521,0.8172043010752689,0.8037383177570093,130,9
1,p95_wait_minutes,0.8807339449541285,0.8350515463917526,0.8181818181818182,100,12
2,n_patients,0.8785046728971962,0.6934306569343066,0.8691588785046729,130,9
2,mean_wait_minutes,0.8407079646017699,0.8407079646017699,0.83,130,9
2,mean_total_minutes,0.8938053097345132,0.8777777777777778,0.8833333333333333,130,9
2,p95_wait_minutes,0.8782608695652174,0.7256637168141593,0.85,80,15
3,n_patients,0.8073394495412844,0.7692307692307693,0.7745098039215687,130,9
3,mean_wait_minutes,0.8387096774193549,0.8241758241758241,0.811965811965812,130,9
3,mean_total_minutes,0.8306451612903226,0.8241758241758241,0.8290598290598291,130,9
3,p95_wait_minutes,0.8387096774193549,0.8114754098360656,0.8125,40,30
4,n_patients,0.9026548672566371,0.6222222222222222,0.75,40,30
4,mean_wait_minutes,0.8434782608695652,0.8053097345132744,0.8115942028985508,100,12
4,mean_total_minutes,0.7565217391304347,0.7478260869565218,0.8260869565217391,100,12
4,p95_wait_minutes,0.8598130841121495,0.7610619469026548,0.8631578947368421,100,12
5,n_patients,0.8503937007874016,0.688,0.8050847457627118,130,9
5,mean_wait_minutes,0.7431192660550459,0.7155963302752294,0.7692307692307693,80,15
5,mean_total_minutes,0.8411214953271028,0.7952755905511811,0.7804878048780488,100,12
5,p95_wait_minutes,0.8740157480314961,0.75,0.8478260869565217,130,9
6,n_patients,0.8636363636363636,0.7651006711409396,0.8867924528301887,130,9
6,mean_wait_minutes,0.8596491228070176,0.7596153846153846,0.8518518518518519,80,15
6,mean_total_minutes,0.8522727272727273,0.8068181818181818,0.8623853211009175,130,9
6,p95_wait_minutes,0.8217821782178217,0.7821782178217822,0.7954545454545454,100,12
7,n_patients,0.8695652173913043,0.6956521739130435,0.8709677419354839,130,9
7,mean_wait_minutes,0.8548387096774194,0.8235294117647058,0.753968253968254,130,9
7,mean_total_minutes,0.8660714285714286,0.8285714285714286,0.8095238095238095,130,9
7,p95_wait_minutes,0.8225806451612904,0.7333333333333333,0.8608695652173913,130,9
8,n_patients,0.86,0.7079646017699115,0.8405797101449275,100,12
8,mean_wait_minutes,0.8421052631578947,0.8210526315789474,0.8229166666666666,130,9
8,mean_total_minutes,0.8846153846153846,0.8225806451612904,0.8405797101449275,100,12
8,p95_wait_minutes,0.7578947368421053,0.7789473684210526,0.8,80,15
9,n_patients,0.8333333333333334,0.6746031746031746,0.8521739130434782,130,9
9,mean_wait_minutes,0.8571428571428571,0.8,0.8,40,30
9,mean_total_minutes,0.8285714285714286,0.8,0.8155339805825242,130,9
9,p95_wait_minutes,0.8666666666666667,0.8220338983050848,0.8181818181818182,80,15
10,n_patients,0.8703703703703703,0.7037037037037037,0.8333333333333334,100,12
10,mean_wait_minutes,0.8282828282828283,0.7714285714285715,0.8429752066115702,130,9
10,mean_total_minutes,0.8611111111111112,0.8467153284671532,0.8429752066115702,130,9
10,p95_wait_minutes,0.8518518518518519,0.7,0.8181818181818182,130,9
11,n_patients,0.8314606741573034,0.6721311475409836,0.8461538461538461,100,12
11,mean_wait_minutes,0.8598130841121495,0.8037383177570093,0.8411214953271028,130,9
11,mean_total_minutes,0.8421052631578947,0.8314606741573034,0.8452380952380952,100,12
11,p95_wait_minutes,0.849624060150376,0.8269230769230769,0.8557692307692307,100,12
12,n_patients,0.8247422680412371,0.6782608695652174,0.8608695652173913,130,9
12,mean_wait_minutes,0.8,0.8347107438016529,0.8382352941176471,100,12
12,mean_total_minutes,0.8526315789473684,0.8278688524590164,0.8676470588235294,100,12
12,p95_wait_minutes,0.823076923076923,0.8172043010752689,0.8416666666666667,130,9
13,n_patients,0.8795180722891566,0.7522935779816514,0.8615384615384616,80,15
13,mean_wait_minutes,0.8817204301075269,0.822429906542056,0.8536585365853658,130,9
13,mean_total_minutes,0.8785046728971962,0.8072289156626506,0.8536585365853658,130,9
13,p95_wait_minutes,0.8888888888888888,0.7570093457943925,0.8658536585365854,130,9
14,n_patients,0.8552631578947368,0.7211538461538461,0.8333333333333334,100,12
