target,mae,rmse,r2
n_patients,9.899690819964079,12.587776362559266,0.9290911262872736
mean_wait_minutes,8.861092540416594,13.23114539870423,0.7872509183026215
mean_total_minutes,9.881473303270704,13.608678435574998,0.761997384230862
p95_wait_minutes,66.94364056702418,102.47407682899565,0.6469733621922552
