target,overall_coverage_static,overall_coverage_aci,oor_coverage_static,oor_coverage_aci,final_alpha_t,mean_width_aci_oor
n_patients,0.70625,0.8645833333333334,0.58,0.84,-0.7049999999999991,72.60353663986146
mean_wait_minutes,0.5583333333333333,0.8104166666666667,0.36666666666666664,0.76,-2.0550000000000037,114.43140049738574
mean_total_minutes,0.575,0.8708333333333333,0.37666666666666665,0.8566666666666667,-0.604999999999999,139.2663676990522
p95_wait_minutes,0.69375,0.8916666666666667,0.58,0.89,-0.10499999999999904,835.5993895879939
