target,alpha,target_coverage,empirical_coverage,mean_interval_width,fit_seconds,predict_seconds,n_gp_train
n_patients,0.1,0.9,0.885,39.285850056918385,11.439639329910278,0.025200843811035156,1000
mean_wait_minutes,0.1,0.9,0.877,43.580164851458655,7.108517169952393,0.01823139190673828,1000
mean_total_minutes,0.1,0.9,0.888,43.437664018877285,6.93363356590271,0.01794886589050293,1000
p95_wait_minutes,0.1,0.9,0.901,350.34159572055484,7.036659002304077,0.018141984939575195,1000
