target,alpha,delta,n_cal,n_test,loss01_lambda,loss01_cal_risk_hat,loss01_test_risk,standard_cp_upper_halfwidth,sev_w_max,sev_lambda,sev_cal_risk_hat,sev_test_risk
n_patients,0.1,0.1,1200,1000,20.04438666984469,0.06833333333333333,0.055,21.811519602791556,43.62303920558311,4.69018899910159,0.0690201547237737,0.06643880720857961
mean_wait_minutes,0.1,0.1,1200,1000,22.284333826284985,0.06833333333333333,0.065,23.57756731348331,47.15513462696662,5.265496600303625,0.06891795451778743,0.058381862760678915
mean_total_minutes,0.1,0.1,1200,1000,22.150808775860735,0.06833333333333333,0.057,23.193132253565544,46.38626450713109,5.537702193965184,0.06887229184496618,0.05880318872823136
p95_wait_minutes,0.1,0.1,1200,1000,175.97855229791696,0.06833333333333333,0.059,181.43212527011,362.86425054022,45.18590278424572,0.06897941018585833,0.056479970860366095
