repeat,target,method,coverage,mean_width
7,p95_wait_minutes,Mondrian CP,0.896,311.2494461698
8,n_patients,GP baseline,0.903,40.57465352382052
8,n_patients,Standard CP,0.899,41.042046131431334
8,n_patients,Mondrian CP,0.906,39.99110928160753
8,mean_wait_minutes,GP baseline,0.857,42.99343305645577
8,mean_wait_minutes,Standard CP,0.897,48.62030989720738
8,mean_wait_minutes,Mondrian CP,0.912,42.250477250047766
8,mean_total_minutes,GP baseline,0.882,44.31749382474138
8,mean_total_minutes,Standard CP,0.901,47.92634624171308
8,mean_total_minutes,Mondrian CP,0.915,45.507959083247854
8,p95_wait_minutes,GP baseline,0.88,360.19373404781567
8,p95_wait_minutes,Standard CP,0.892,381.92596868192095
8,p95_wait_minutes,Mondrian CP,0.894,319.456290221583
9,n_patients,GP baseline,0.909,40.941154754162845
9,n_patients,Standard CP,0.912,41.72314742583262
9,n_patients,Mondrian CP,0.902,41.78713001195285
9,mean_wait_minutes,GP baseline,0.866,42.08400801597194
9,mean_wait_minutes,Standard CP,0.897,47.35500100560435
9,mean_wait_minutes,Mondrian CP,0.918,41.99723964820451
9,mean_total_minutes,GP baseline,0.882,42.19667360003002
9,mean_total_minutes,Standard CP,0.894,45.122212856285046
9,mean_total_minutes,Mondrian CP,0.9,42.28633783090746
9,p95_wait_minutes,GP baseline,0.9,358.7060135624988
9,p95_wait_minutes,Standard CP,0.905,383.7956389836932
9,p95_wait_minutes,Mondrian CP,0.929,346.3442787789619
10,n_patients,GP baseline,0.898,39.822264197007925
10,n_patients,Standard CP,0.905,40.20129257950714
10,n_patients,Mondrian CP,0.919,40.86694405373389
10,mean_wait_minutes,GP baseline,0.887,43.93954973890226
10,mean_wait_minutes,Standard CP,0.901,47.459899778375785
10,mean_wait_minutes,Mondrian CP,0.898,41.33530051068938
10,mean_total_minutes,GP baseline,0.888,44.872992971570476
10,mean_total_minutes,Standard CP,0.905,47.946758107651874
10,mean_total_minutes,Mondrian CP,0.922,46.66477330303237
10,p95_wait_minutes,GP baseline,0.874,343.26819140898857
10,p95_wait_minutes,Standard CP,0.89,364.57878009210555
10,p95_wait_minutes,Mondrian CP,0.898,332.6279383269444
11,n_patients,GP baseline,0.898,40.65745129787143
11,n_patients,Standard CP,0.895,40.91539894740379
11,n_patients,Mondrian CP,0.914,42.58173003424484
11,mean_wait_minutes,GP baseline,0.886,43.84479360566856
11,mean_wait_minutes,Standard CP,0.904,46.61855162676896
11,mean_wait_minutes,Mondrian CP,0.897,39.652959148545264
11,mean_total_minutes,GP baseline,0.884,43.81663720948951
11,mean_total_minutes,Standard CP,0.889,44.72155757990862
11,mean_total_minutes,Mondrian CP,0.892,42.70234200070768
11,p95_wait_minutes,GP baseline,0.883,344.00133236409386
11,p95_wait_minutes,Standard CP,0.894,365.75618712993446
11,p95_wait_minutes,Mondrian CP,0.911,327.3358681822238
12,n_patients,GP baseline,0.886,39.984925667490536
12,n_patients,Standard CP,0.894,41.509607209723015
12,n_patients,Mondrian CP,0.915,43.07826044855451
12,mean_wait_minutes,GP baseline,0.892,45.06218002731774
12,mean_wait_minutes,Standard CP,0.927,51.670212156850155
12,mean_wait_minutes,Mondrian CP,0.902,43.34563885012177
12,mean_total_minutes,GP baseline,0.909,44.83115683898796
12,mean_total_minutes,Standard CP,0.912,46.49496127325585
12,mean_total_minutes,Mondrian CP,0.913,44.29652673499944
12,p95_wait_minutes,GP baseline,0.907,359.5876273913383
12,p95_wait_minutes,Standard CP,0.919,392.61215872513657
12,p95_wait_minutes,Mondrian CP,0.924,337.3489070970694
13,n_patients,GP baseline,0.919,41.456151023791875
13,n_patients,Standard CP,0.915,42.06043546418067
13,n_patients,Mondrian CP,0.932,42.94616958890042
13,mean_wait_minutes,GP baseline,0.891,44.69714607155218
13,mean_wait_minutes,Standard CP,0.912,48.341768786445456
13,mean_wait_minutes,Mondrian CP,0.921,42.59150781150773
13,mean_total_minutes,GP baseline,0.899,44.762147108386905
13,mean_total_minutes,Standard CP,0.895,45.836122446809156
13,mean_total_minutes,Mondrian CP,0.902,42.436751720131085
13,p95_wait_minutes,GP baseline,0.9,365.47674484441046
13,p95_wait_minutes,Standard CP,0.916,401.86740412433517
13,p95_wait_minutes,Mondrian CP,0.923,341.3085680590121
14,n_patients,GP baseline,0.885,40.99422681821308
14,n_patients,Standard CP,0.892,41.56356667345938
14,n_patients,Mondrian CP,0.918,44.944175773741286
14,mean_wait_minutes,GP baseline,0.892,43.747086946534154
14,mean_wait_minutes,Standard CP,0.904,47.56588616222899
14,mean_wait_minutes,Mondrian CP,0.909,39.990113080782834
14,mean_total_minutes,GP baseline,0.901,43.52382925325293
14,mean_total_minutes,Standard CP,0.912,46.54570645024299
14,mean_total_minutes,Mondrian CP,0.896,42.47109870794721
14,p95_wait_minutes,GP baseline,0.873,347.2659000961719
14,p95_wait_minutes,Standard CP,0.896,380.35036243489
14,p95_wait_minutes,Mondrian CP,0.884,316.17847627250626
15,n_patients,GP baseline,0.892,39.28688006082138
15,n_patients,Standard CP,0.895,39.50764982812609
15,n_patients,Mondrian CP,0.904,41.31147179724961
15,mean_wait_minutes,GP baseline,0.884,44.250475374984454
15,mean_wait_minutes,Standard CP,0.907,48.55144154630466
15,mean_wait_minutes,Mondrian CP,0.928,44.411724248559366
15,mean_total_minutes,GP baseline,0.889,45.189136624259625
15,mean_total_minutes,Standard CP,0.91,48.91449521540409
15,mean_total_minutes,Mondrian CP,0.917,46.17937479691579
15,p95_wait_minutes,GP baseline,0.897,352.4430385810746
15,p95_wait_minutes,Standard CP,0.902,378.9807064444906
15,p95_wait_minutes,Mondrian CP,0.934,338.96093053272995
16,n_patients,GP baseline,0.892,40.76471247600344
16,n_patients,Standard CP,0.891,41.16386965664452
16,n_patients,Mondrian CP,0.903,42.481351325962976
16,mean_wait_minutes,GP baseline,0.887,42.648691530507975
16,mean_wait_minutes,Standard CP,0.901,46.64511993113571
16,mean_wait_minutes,Mondrian CP,0.908,43.28855625843538
16,mean_total_minutes,GP baseline,0.893,43.50245771266321
16,mean_total_minutes,Standard CP,0.913,46.948733649389396
16,mean_total_minutes,Mondrian CP,0.916,44.86699542614406
16,p95_wait_minutes,GP baseline,0.9,349.9368034198558
16,p95_wait_minutes,Standard CP,0.891,367.1101204561212
16,p95_wait_minutes,Mondrian CP,0.916,348.5986579321297
17,n_patients,GP baseline,0.906,42.118967366232006
17,n_patients,Standard CP,0.915,43.45220120641875
17,n_patients,Mondrian CP,0.92,43.681173522416664
17,mean_wait_minutes,GP baseline,0.892,44.21698417704625
17,mean_wait_minutes,Standard CP,0.925,49.81520234891104
17,mean_wait_minutes,Mondrian CP,0.929,42.38061963467463
17,mean_total_minutes,GP baseline,0.9,44.94732340785689
17,mean_total_minutes,Standard CP,0.924,48.63718754747896
17,mean_total_minutes,Mondrian CP,0.925,44.74630514782234
17,p95_wait_minutes,GP baseline,0.9,339.5463069897035
17,p95_wait_minutes,Standard CP,0.913,363.13452820321277
17,p95_wait_minutes,Mondrian CP,0.917,310.8307982323556
18,n_patients,GP baseline,0.915,42.52661031594331
18,n_patients,Standard CP,0.912,42.803673988463856
18,n_patients,Mondrian CP,0.93,44.23058987597555
18,mean_wait_minutes,GP baseline,0.903,45.283060922406285
18,mean_wait_minutes,Standard CP,0.909,47.3853256102389
18,mean_wait_minutes,Mondrian CP,0.926,41.71745269316793
18,mean_total_minutes,GP baseline,0.915,44.994804684862345
18,mean_total_minutes,Standard CP,0.915,48.403208443239066
18,mean_total_minutes,Mondrian CP,0.921,44.66007043518065
18,p95_wait_minutes,GP baseline,0.901,360.2002033784782
18,p95_wait_minutes,Standard CP,0.911,399.7635393057205
18,p95_wait_minutes,Mondrian CP,0.926,333.49165657371816
19,n_patients,GP baseline,0.894,41.138935211006725
19,n_patients,Standard CP,0.906,41.81093087760587
19,n_patients,Mondrian CP,0.914,43.87920347962505
19,mean_wait_minutes,GP baseline,0.895,45.966726720662535
19,mean_wait_minutes,Standard CP,0.91,50.80794046035203
19,mean_wait_minutes,Mondrian CP,0.908,39.03338439830979
19,mean_total_minutes,GP baseline,0.902,45.85154003411714
19,mean_total_minutes,Standard CP,0.911,48.096348988538836
19,mean_total_minutes,Mondrian CP,0.92,42.543537252585224
19,p95_wait_minutes,GP baseline,0.896,357.7968798628657
19,p95_wait_minutes,Standard CP,0.909,388.4527964771222
19,p95_wait_minutes,Mondrian CP,0.915,311.1067275041677
20,n_patients,GP baseline,0.892,38.920891705807456
20,n_patients,Standard CP,0.892,39.1340829841821
20,n_patients,Mondrian CP,0.906,40.727759546003945
20,mean_wait_minutes,GP baseline,0.896,44.94815289069142
20,mean_wait_minutes,Standard CP,0.908,47.32717210937889
20,mean_wait_minutes,Mondrian CP,0.91,41.21323524965982
20,mean_total_minutes,GP baseline,0.907,43.221527105344414
20,mean_total_minutes,Standard CP,0.897,44.95717797399118
20,mean_total_minutes,Mondrian CP,0.904,42.973223350514225
20,p95_wait_minutes,GP baseline,0.9,367.83858429119164
20,p95_wait_minutes,Standard CP,0.921,393.3865298293348
20,p95_wait_minutes,Mondrian CP,0.91,318.63702290211677
21,n_patients,GP baseline,0.899,40.61128088448246
21,n_patients,Standard CP,0.91,42.70192664169781
21,n_patients,Mondrian CP,0.919,44.0391165324228
21,mean_wait_minutes,GP baseline,0.885,45.07706379641819
21,mean_wait_minutes,Standard CP,0.89,46.841542772028006
