target,n_repeats,mondrian_mean,mondrian_std,qtcp_mean,qtcp_std,sa_mondrian_mean,sa_mondrian_std,sa_minus_mondrian_mean_diff,paired_ttest_t,paired_ttest_p
mean_total_minutes,30,0.8469166216193249,0.027388758011609785,0.8151442322657559,0.03224441766431959,0.8230596121384259,0.048253293932440953,-0.023857009480899284,-2.5423933567284056,0.016609139205892638
mean_wait_minutes,30,0.8432919001927759,0.030581375482328466,0.8028048824635585,0.031210568076845167,0.8365524872547964,0.035186575182432,-0.00673941293797918,-0.8461239623039517,0.40441158697830737
n_patients,30,0.8531365798436672,0.026649105945256074,0.7133713469766276,0.04046316060486275,0.8312719102355159,0.03889128674630384,-0.021864669608151224,-2.81576268451485,0.008660141406160832
p95_wait_minutes,30,0.8552231801164276,0.029009279739505227,0.7874777164686793,0.04254402490423698,0.832313787214849,0.02392807227956789,-0.022909392901578507,-4.014922901182596,0.00038417054769647994
