target,category,n_cal,n_test,standard_coverage,mondrian_coverage,qtcp_coverage,qtcp_mean_width
n_patients,staff=High/arrival=High,126,142,0.8732394366197183,0.9507042253521126,0.8732394366197183,46.125133719574684
n_patients,staff=High/arrival=Low,136,118,0.8813559322033898,0.8898305084745762,0.7033898305084746,30.23792992370236
n_patients,staff=High/arrival=Med,157,105,0.8952380952380953,0.9238095238095239,0.819047619047619,37.20274534790314
n_patients,staff=Low/arrival=High,132,88,0.9886363636363636,0.9659090909090909,1.0,62.24250375568136
n_patients,staff=Low/arrival=Low,128,117,0.9487179487179487,0.8803418803418803,1.0,62.20443843399169
n_patients,staff=Low/arrival=Med,121,100,0.97,0.87,0.99,62.24250375568136
n_patients,staff=Med/arrival=High,142,114,0.8947368421052632,0.8333333333333334,0.9736842105263158,62.088649854263025
n_patients,staff=Med/arrival=Low,136,109,0.944954128440367,0.9724770642201835,0.926605504587156,45.68371395470589
n_patients,staff=Med/arrival=Med,122,107,0.9252336448598131,0.9719626168224299,0.9719626168224299,57.3903698777036
mean_wait_minutes,staff=High/arrival=High,126,142,0.9507042253521126,0.9225352112676056,0.9225352112676056,31.081116455345143
mean_wait_minutes,staff=High/arrival=Low,136,118,1.0,0.9491525423728814,0.9915254237288136,20.161284557692653
mean_wait_minutes,staff=High/arrival=Med,157,105,0.9904761904761905,0.8857142857142857,0.9714285714285714,24.805108589742197
mean_wait_minutes,staff=Low/arrival=High,132,88,0.6818181818181818,0.9090909090909091,0.7613636363636364,51.875609250035275
mean_wait_minutes,staff=Low/arrival=Low,128,117,0.8290598290598291,0.8547008547008547,0.8547008547008547,50.904363377264076
mean_wait_minutes,staff=Low/arrival=Med,121,100,0.79,0.98,0.82,51.875609250035275
mean_wait_minutes,staff=Med/arrival=High,142,114,0.8771929824561403,0.8859649122807017,0.8859649122807017,50.915157503862595
mean_wait_minutes,staff=Med/arrival=Low,136,109,0.9174311926605505,0.8990825688073395,0.8807339449541285,31.229762637451728
mean_wait_minutes,staff=Med/arrival=Med,122,107,0.9065420560747663,0.9439252336448598,0.9065420560747663,43.08624500991629
mean_total_minutes,staff=High/arrival=High,126,142,0.9366197183098591,0.9154929577464789,0.9225352112676056,36.029029763405354
mean_total_minutes,staff=High/arrival=Low,136,118,1.0,0.9576271186440678,0.9915254237288136,23.61929796948203
mean_total_minutes,staff=High/arrival=Med,157,105,0.9904761904761905,0.8761904761904762,0.9619047619047619,29.05961915620765
mean_total_minutes,staff=Low/arrival=High,132,88,0.8068181818181818,0.9204545454545454,0.8295454545454546,48.618547839799994
mean_total_minutes,staff=Low/arrival=Low,128,117,0.8547008547008547,0.8803418803418803,0.8803418803418803,48.58881444940054
mean_total_minutes,staff=Low/arrival=Med,121,100,0.82,0.97,0.84,48.618547839799994
mean_total_minutes,staff=Med/arrival=High,142,114,0.8596491228070176,0.868421052631579,0.868421052631579,48.49837026314256
mean_total_minutes,staff=Med/arrival=Low,136,109,0.908256880733945,0.9174311926605505,0.8623853211009175,35.68423020264301
mean_total_minutes,staff=Med/arrival=Med,122,107,0.9065420560747663,0.9626168224299065,0.9252336448598131,44.82847371300133
p95_wait_minutes,staff=High/arrival=High,126,142,0.9647887323943662,0.9295774647887324,0.9225352112676056,235.71721093008435
p95_wait_minutes,staff=High/arrival=Low,136,118,1.0,0.923728813559322,1.0,152.9019001468272
p95_wait_minutes,staff=High/arrival=Med,157,105,0.9904761904761905,0.8761904761904762,0.9904761904761905,188.1203663321552
p95_wait_minutes,staff=Low/arrival=High,132,88,0.7272727272727273,0.9204545454545454,0.7613636363636364,393.4213220842749
p95_wait_minutes,staff=Low/arrival=Low,128,117,0.8461538461538461,0.8632478632478633,0.8717948717948718,386.0554551410488
p95_wait_minutes,staff=Low/arrival=Med,121,100,0.78,0.92,0.81,393.4213220842748
p95_wait_minutes,staff=Med/arrival=High,142,114,0.9210526315789473,0.9298245614035088,0.9298245614035088,386.13731711083636
p95_wait_minutes,staff=Med/arrival=Low,136,109,0.944954128440367,0.908256880733945,0.908256880733945,236.84453412363527
p95_wait_minutes,staff=Med/arrival=Med,122,107,0.9345794392523364,0.9439252336448598,0.9345794392523364,326.7633425517162
