target,step,arrival_rate_multiplier,in_range,alpha_t,aci_width,rolling_coverage_static,rolling_coverage_aci
n_patients,0,0.8,True,0.1,43.6230392055831,1.0,1.0
n_patients,1,0.8,True,0.10500000000000001,43.38009823388131,1.0,1.0
n_patients,2,0.8,True,0.11000000000000001,42.402125143452054,0.6666666666666666,0.6666666666666666
n_patients,3,0.8,True,0.065,48.764381326617865,0.75,0.75
n_patients,4,0.8,True,0.07,47.771529365851165,0.8,0.8
n_patients,5,0.8,True,0.07500000000000001,46.89024057579854,0.8333333333333334,0.8333333333333334
n_patients,6,0.8,True,0.08000000000000002,45.907395559447366,0.8571428571428571,0.8571428571428571
n_patients,7,0.8,True,0.08500000000000002,45.09323076092119,0.875,0.875
n_patients,8,0.8,True,0.09000000000000002,44.730515722820655,0.8888888888888888,0.8888888888888888
n_patients,9,0.8,True,0.09500000000000003,44.22385125499716,0.9,0.9
n_patients,10,0.8,True,0.10000000000000003,43.6230392055831,0.9090909090909091,0.9090909090909091
n_patients,11,0.8,True,0.10500000000000004,43.38009823388131,0.9166666666666666,0.9166666666666666
n_patients,12,0.8,True,0.11000000000000004,42.402125143452054,0.9230769230769231,0.9230769230769231
n_patients,13,0.8,True,0.11500000000000005,41.62406856410837,0.9285714285714286,0.9285714285714286
n_patients,14,0.8,True,0.12000000000000005,41.30390616731171,0.9333333333333333,0.9333333333333333
n_patients,15,0.8,True,0.12500000000000006,40.815058440888436,0.9375,0.9375
n_patients,16,0.8,True,0.13000000000000006,40.137344325463516,0.8823529411764706,0.8823529411764706
n_patients,17,0.8,True,0.08500000000000005,45.09323076092119,0.8888888888888888,0.8888888888888888
n_patients,18,0.8,True,0.09000000000000005,44.730515722820655,0.8947368421052632,0.8947368421052632
n_patients,19,0.8,True,0.09500000000000006,44.22385125499716,0.9,0.9
n_patients,20,0.8,True,0.10000000000000006,43.6230392055831,0.9047619047619048,0.9047619047619048
n_patients,21,0.8,True,0.10500000000000007,43.38009823388131,0.9090909090909091,0.9090909090909091
n_patients,22,0.8,True,0.11000000000000007,42.402125143452054,0.9130434782608695,0.9130434782608695
n_patients,23,0.8,True,0.11500000000000007,41.62406856410837,0.9166666666666666,0.9166666666666666
n_patients,24,0.8,True,0.12000000000000008,41.30390616731171,0.92,0.92
n_patients,25,0.8,True,0.12500000000000008,40.815058440888436,0.9230769230769231,0.9230769230769231
n_patients,26,0.8,True,0.1300000000000001,40.137344325463516,0.9259259259259259,0.9259259259259259
n_patients,27,0.8,True,0.1350000000000001,39.11333254946442,0.9285714285714286,0.9285714285714286
n_patients,28,0.8,True,0.1400000000000001,38.36159100236148,0.9310344827586207,0.9310344827586207
n_patients,29,0.8,True,0.1450000000000001,37.51953297977525,0.9333333333333333,0.9333333333333333
n_patients,30,0.8,True,0.1500000000000001,36.99014576737915,0.9354838709677419,0.9354838709677419
n_patients,31,0.8,True,0.1550000000000001,36.35117210370623,0.9375,0.9375
n_patients,32,0.8,True,0.16000000000000011,36.02188322648533,0.9393939393939394,0.9393939393939394
n_patients,33,0.8,True,0.16500000000000012,35.540906047939245,0.9411764705882353,0.9411764705882353
n_patients,34,0.8,True,0.17000000000000012,34.73720088759558,0.9428571428571428,0.9428571428571428
n_patients,35,0.8,True,0.17500000000000013,34.2199162102271,0.9444444444444444,0.9444444444444444
n_patients,36,0.8,True,0.18000000000000013,33.98922842774954,0.9459459459459459,0.9459459459459459
n_patients,37,0.8,True,0.18500000000000014,33.412253455923576,0.9210526315789473,0.9210526315789473
n_patients,38,0.8,True,0.14000000000000012,38.36159100236148,0.9230769230769231,0.9230769230769231
n_patients,39,0.8,True,0.14500000000000013,37.51953297977525,0.925,0.925
n_patients,40,0.8,True,0.15000000000000013,36.99014576737915,0.926829268292683,0.926829268292683
n_patients,41,0.8,True,0.15500000000000014,36.35117210370623,0.9285714285714286,0.9285714285714286
n_patients,42,0.8,True,0.16000000000000014,36.02188322648533,0.9302325581395349,0.9302325581395349
n_patients,43,0.8,True,0.16500000000000015,35.540906047939245,0.9318181818181818,0.9318181818181818
n_patients,44,0.8,True,0.17000000000000015,34.73720088759558,0.9333333333333333,0.9333333333333333
n_patients,45,0.8,True,0.17500000000000016,34.2199162102271,0.9347826086956522,0.9347826086956522
n_patients,46,0.8,True,0.18000000000000016,33.98922842774954,0.9361702127659575,0.9361702127659575
n_patients,47,0.8,True,0.18500000000000016,33.412253455923576,0.9375,0.9375
n_patients,48,0.8,True,0.19000000000000017,32.93024997080215,0.9387755102040817,0.9387755102040817
n_patients,49,0.8,True,0.19500000000000017,32.39835655847389,0.94,0.94
n_patients,50,0.8,True,0.20000000000000018,31.792356083676736,0.9411764705882353,0.9215686274509803
n_patients,51,0.8,True,0.15500000000000017,36.35117210370623,0.9423076923076923,0.9230769230769231
n_patients,52,0.8,True,0.16000000000000017,36.02188322648533,0.9433962264150944,0.9245283018867925
n_patients,53,0.8,True,0.16500000000000017,35.540906047939245,0.9444444444444444,0.9259259259259259
n_patients,54,0.8,True,0.17000000000000018,34.73720088759558,0.9454545454545454,0.9272727272727272
n_patients,55,0.8,True,0.17500000000000018,34.2199162102271,0.9464285714285714,0.9285714285714286
n_patients,56,0.8,True,0.1800000000000002,33.98922842774954,0.9473684210526315,0.9298245614035088
n_patients,57,0.8,True,0.1850000000000002,33.412253455923576,0.9482758620689655,0.9310344827586207
n_patients,58,0.8,True,0.1900000000000002,32.93024997080215,0.9491525423728814,0.9322033898305084
n_patients,59,0.8,True,0.1950000000000002,32.39835655847389,0.95,0.9333333333333333
n_patients,60,1.0,True,0.2000000000000002,31.792356083676736,0.95,0.9333333333333333
n_patients,61,1.0,True,0.2050000000000002,31.38440724615498,0.95,0.9333333333333333
n_patients,62,1.0,True,0.21000000000000021,31.25805106728245,0.9666666666666667,0.95
n_patients,63,1.0,True,0.21500000000000022,30.986587881742537,0.9666666666666667,0.95
n_patients,64,1.0,True,0.22000000000000022,30.75720070967941,0.9666666666666667,0.9333333333333333
n_patients,65,1.0,True,0.1750000000000002,34.2199162102271,0.95,0.9166666666666666
n_patients,66,1.0,True,0.1300000000000002,40.137344325463516,0.95,0.9166666666666666
n_patients,67,1.0,True,0.1350000000000002,39.11333254946442,0.95,0.9166666666666666
n_patients,68,1.0,True,0.1400000000000002,38.36159100236148,0.95,0.9166666666666666
n_patients,69,1.0,True,0.1450000000000002,37.51953297977525,0.95,0.9166666666666666
n_patients,70,1.0,True,0.15000000000000022,36.99014576737915,0.95,0.9166666666666666
n_patients,71,1.0,True,0.15500000000000022,36.35117210370623,0.95,0.9166666666666666
n_patients,72,1.0,True,0.16000000000000023,36.02188322648533,0.95,0.9166666666666666
n_patients,73,1.0,True,0.16500000000000023,35.540906047939245,0.95,0.9166666666666666
n_patients,74,1.0,True,0.17000000000000023,34.73720088759558,0.95,0.9166666666666666
n_patients,75,1.0,True,0.17500000000000024,34.2199162102271,0.95,0.9166666666666666
n_patients,76,1.0,True,0.18000000000000024,33.98922842774954,0.9666666666666667,0.9333333333333333
n_patients,77,1.0,True,0.18500000000000025,33.412253455923576,0.9666666666666667,0.9333333333333333
n_patients,78,1.0,True,0.19000000000000025,32.93024997080215,0.9666666666666667,0.9333333333333333
n_patients,79,1.0,True,0.19500000000000026,32.39835655847389,0.9666666666666667,0.9333333333333333
n_patients,80,1.0,True,0.20000000000000026,31.792356083676736,0.95,0.9166666666666666
n_patients,81,1.0,True,0.15500000000000025,36.35117210370623,0.95,0.9166666666666666
n_patients,82,1.0,True,0.16000000000000025,36.02188322648533,0.95,0.9166666666666666
n_patients,83,1.0,True,0.16500000000000026,35.540906047939245,0.95,0.9166666666666666
n_patients,84,1.0,True,0.17000000000000026,34.73720088759558,0.95,0.9166666666666666
n_patients,85,1.0,True,0.17500000000000027,34.2199162102271,0.95,0.9166666666666666
n_patients,86,1.0,True,0.18000000000000027,33.98922842774954,0.95,0.9166666666666666
n_patients,87,1.0,True,0.18500000000000028,33.412253455923576,0.95,0.9166666666666666
n_patients,88,1.0,True,0.19000000000000028,32.93024997080215,0.95,0.9166666666666666
n_patients,89,1.0,True,0.19500000000000028,32.39835655847389,0.95,0.9
n_patients,90,1.0,True,0.15000000000000027,36.99014576737915,0.95,0.9
n_patients,91,1.0,True,0.15500000000000028,36.35117210370623,0.95,0.9
n_patients,92,1.0,True,0.16000000000000028,36.02188322648533,0.95,0.9
n_patients,93,1.0,True,0.16500000000000029,35.540906047939245,0.95,0.9
n_patients,94,1.0,True,0.1700000000000003,34.73720088759558,0.95,0.9
n_patients,95,1.0,True,0.1750000000000003,34.2199162102271,0.95,0.9
n_patients,96,1.0,True,0.1800000000000003,33.98922842774954,0.95,0.8833333333333333
n_patients,97,1.0,True,0.1350000000000003,39.11333254946442,0.9666666666666667,0.9
