target,target_coverage,standard_overall_coverage,standard_overall_width,mondrian_overall_coverage,pooled_coverage_min,pooled_coverage_max,pooled_coverage_range,mondrian_coverage_min,mondrian_coverage_max,mondrian_coverage_range,worst_pooled_category
n_patients,0.9,0.889,30.422678378140574,0.897,0.8108108108108109,0.9791666666666666,0.16835585585585577,0.8617886178861789,0.9603960396039604,0.09860742171778147,staff=High/arrival=High
mean_wait_minutes,0.9,0.923,69.92597133590185,0.933,0.7619047619047619,1.0,0.23809523809523814,0.8928571428571429,0.96875,0.0758928571428571,staff=Low/arrival=High
mean_total_minutes,0.9,0.914,70.02120795897957,0.935,0.8095238095238095,1.0,0.19047619047619047,0.8928571428571429,0.9900990099009901,0.09724186704384719,staff=Low/arrival=High
p95_wait_minutes,0.9,0.919,409.0751964985693,0.926,0.8095238095238095,1.0,0.19047619047619047,0.8690476190476191,0.9541284403669725,0.08508082131935346,staff=Low/arrival=High
